Srno,RecipeName,Ingredients,Amount,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions
1,Baingan Bharta Recipe,"eggplant, ginger, onion, tomato, green chili, turmeric powder, butter, red chili powder, sunflower oil, coriander leaves","1, 2, 1, 1, 2, 1 teaspoon, 1 teaspoon, 1 teaspoon, 1 teaspoon, 2",6,9,15,1,Punjabi,Side Dish,Vegetarian,"To start the Brinjal Bharta, first turn on the gas. Place the brinjals on the heat and roast them all the way around. After 10 minutes you will see that the brinjal skin has started coming out. Bake the eggplants and keep them aside till they become soft. After cooling, take out the skin of the brinjals and mash them with the help of a fork. Keep it aside. Now heat a pan. Add cumin seeds and let it cook for 10 seconds. After 10 seconds, add ginger, onion and cook till the onion becomes soft. Now add tomato, turmeric powder, green chili, coriander powder, garam masala powder and red chili powder. Mix all and let it cook for 3 minutes to 4 minutes. Now add eggplant, butter and salt. Mix, slow down the heat and let it cook for 10 minutes. Turn off the gas and garnish with green coriander. Serve the Brinjal Bharta with Panchamel Dal, Spinach Raita and Phulka for dinner."
2,Makki and Methi Roti,"yellow corn meal flour, fenugreek leaves, green chili, carom seeds, red chili","2 cup, 1.5 cup, 2, 1 teaspoon, 1 teaspoon",3,5,8,1,Punjabi,Lunch,Vegetarian,"To begin making Makki and Methi Roti Recipe, heat some water in a pan till lukewarm.In a steel mixing bowl, add Maize flour, chopped fenugreek leaves, green chilies, carom seeds and salt. Mix everything well. Now add lukewarm water to the maize flour little by little and knead into a soft dough. Add some oil on top of the entire ball of dough and keep aside. Place a tawa on low heat and let it heat up. Next divide the dough into small balls. Roll out each ball between two sheets of plastic (cling film) into a circle or you can use your hands with the help of wet fingers to make a small round roti. Place roti on the the tawa and cook it on low flame from both sides until brown spots appear. Prepare the rest of the the rotis in a similar way and serve hot. Serve Makki and Methi Roti with Sarson Ka Saag and Burani Raita for a delicious weekday meal."
3,Cabbage and Carrot Sambharo,"carrot, cabbage, capsicum, turmeric powder, lemon, sunflower oil, mustard seeds, asafoetida, curry leaves, green chili","3, 3, 1, 0.5 teaspoon, 1 teaspoon, 1 teaspoon, 1 teaspoon, 0.25 teaspoon, 1, 3",3,5,8,1,Gujarati Recipes?,Lunch,Vegetarian,"To begin making the Cabbage and Carrot Sambharo Recipe, heat oil in a heavy bottomed pan on medium heat. Add the mustard seeds and allow it to crackle. Once it crackles, add the asafoetida, green chilies, curry leaves and saute for a few seconds.  At this stage add the turmeric powder and the chopped vegetables, salt and stir to combine all the ingredients well. Turn the heat to low, cover the pan and allow the vegetables to cook in its own steam for about 3 to 4 minutes, until just about cooked.  You want the vegetables to remain little firm and crunchy and not too soft.Once done, turn off the heat and the Cabbage and Carrot Sambharo is ready to be served.Serve Cabbage And Carrot Sambharo along with Palak Ragi & Oats Wheat Thepla Recipe or Beetroot & Sesame Thepla Recipe for a simple mean. "
4,Herbal Brown Rice,"brown rice, onion, garlic, rosemary, red chili","1.5 cup, 2, 4, 3 teaspoon, 4 teaspoon",3,5,8,1,Continental,Side Dish,Vegetarian,"To make Herb Brown Rice recipe, first soak the brown rice in 2-1 / 2 cups of water for 1/2 hour. Heat the oil in a pressure cooker. Add the garlic and cook for 30 seconds. Now add onions and cook till they turn golden brown. After the onion is cooked, add brown rice, water, red chili flax, oregano, thyme, salt, mix it well. Turn off the cooker and cook till 3 cities come. Simmer the gas and cook for 5 minutes and turn off the gas. Let the pressure drain automatically. Open the cooker, mix and serve the rice. Serve Herb Brown Rice Recipe with Chicken Curry with Sweet Potato and Salad of your choice."
5,Ripe Mango Ras,"mango, sugar","3 cup, 2 teaspoon",3,1,4,1,North Indian Recipes,Side Dish,Vegan,"To begin making the Aamras Recipe, roll the whole mangoes with your palms to soften them.Peel the mango, transfer all the pulp into a mixer-jar, discarding the seed. Along with the mango pulp in the jar, add water and adjust the sugar to your liking and depending on the sweetness of the mango. Pulse it until smooth. Keep in fridge for some time and serve cold along with your meal.Serve this delicious Aamras recipe along with Puri Recipe, Batata Nu Shaak and Mumbai Style Masala Khichia Churi or just enjoy it on its own for your breakfast or evening snack, and you will simply love it."
6,Ridge Gourd Peel Chutney,"ridge gourd skin, white lentils, fenugreek seeds, dry red chili, curry leaves, tamarind, mustard seeds, sunflower oil","2 cup, 2 teaspoon, 5 teaspoon, 3, 10, 30 gram, 0.25 teaspoon, 1 teaspoon",4,3,6,1,South Indian Recipes,Side Dish,Vegetarian,"To begin making the Peerkangai Thogayal Recipe, heat a teaspoon oil in a heavy bottomed pan; add the cut peels of the Ridge Gourd, along with a little salt and saute until soft and tender. Turn off heat and allow it to cool. The peels will not get completely soft, so its ok as long as they have cooked through.In another small pan; roast the fenugreek seeds, dry red chilies and urad dal until it releases a roasted aroma and slightly browned.Now grind the roasted ingredients, the cooked ridge gourd peels, the tamarind and curry leaves together until it forms a smooth paste. Check the salt in the Peerkangai Thogayal Recipe and adjust to suit your taste.Heat a little oil in a pan; add mustard seeds, dry red chilies and curry leaves. Allow it to crackle and the red chilies to roast. Add it to the Peerkangai Thogayal.Serve the Peerkangai Thogayal along with a hot bowl of Steamed Rice and Ghee."
7,Tomato Knock,"tomato, dry red chili, tamarind, turmeric powder, mustard seeds, fenugreek seeds, garlic, sunflower oil","1 kg, 8, 1 teaspoon, 1/2 teaspoon, 1 teaspoon, 1 teaspoon, 8, As Required",3,10,13,1,Andhra,Side Dish,Vegetarian,"To begin making the Andhra Style Tamati Pachadi recipe, take the chopped tomatoes in a deep bottomed pan. Add salt, turmeric & tamarind to them. Keep the pan on medium heat & boil till they loose all the water & turn into a mushy paste alike. Keep stirring in between. Meanwhile when the tomatoes are boiling, take another pan, heat 2-3 teaspoons of oil. Add the mustard seeds, fenugreek seeds. Once they crackle, add dry red chilies. Fry them till they become fragrant. Once done, cool them & grind them into a smooth powder.Add the ground masala that we made in step two to the tomatoes & mix well. If you think that the chilies aren't spicy enough, then add red chili powder according to your preference at this step.Once again heat 5 tbsp oil, add the garlic pods & mustard seeds to it. Once the garlic turns brownish & the seeds crackle, switch off the stove & let them cool.Add the tempered mixture to the chutney. You can even add some urad dal or chana dal to this tempering. But make sure to add this tempered oil mix only when it is completely cooled off. This is important as it makes sure the chutney stays fresh for a long time.Serve Andhra Style Tamati Pachadi along with Ghee Masala Dosa and Homemade Soft Idlis for your breakfast or as your tea time snack."
8,Raw Mango Pachadi,"raw mango, jaggery, turmeric powder, mustard seeds, asafoetida, curry leaves, dry red chili, sunflower oil","1, 1 teaspoon, 1 teaspoon, 1 teaspoon, 1, 2, As Required",1,8,9,1,Tamil Nadu,Side Dish,Vegetarian,"To make Pacha Manga Pachadi Recipe, first of all, put raw mango in a saucepan with tamarind water, jaggery and turmeric powder. Turn on the gas and allow it to boil on medium heat. After the mango becomes soft, add sambar powder, salt and mix it. Let it cook until it thickens. After it thickens, turn off the gas. Now heat oil in a tempering pan. Add the mustard seeds, curry leaves, asafoetida, dry red chilies and let it cook for 10 seconds. After this, add this tempering to the pachdi and mix. Serve Pacha Manga Pachadi Recipe with Keerai Sambar, Rice, Chow Chow Thoran and Masala Tea."
9,Kesar Chai,"tea leaves, milk, saffron strands","1 teaspoon, 0.25 cup, 10",0,5,5,1,North Indian Recipes,North Indian Breakfast,Vegetarian,"To begin making the Kesar Chai, add water into a saucepan, along with the saffron strands and allow it to come to a brisk boil.Once it begins to boil; add the tea leaves. Allow the tea leaves to simmer in the water for about a minute and turn off the heat.Once you add the tea leaves, allow it to brew just a little to ensure the tea stays light and does not turn bitter.Stir in the milk into the chai and allow it to rest for a few seconds. Strain the Kesar chai into the cups and serve. Add a few more saffron strands to the top while serving, this will give a great look and also add to the taste and flavor of the chai.Serve the Kesar chai Recipe along with Samosa or Vegetable Bajji or Pakora for an evening snack."
10,Kerala pala pradham,"milk, sugar, ghee, cardamom powder","2 liter, 0.75 cup, 1 tablespoon, 0.5 teaspoon",4,19,23,1,Kerala Recipes,Dessert,Vegetarian,"To begin making the Kerala Palada Pradhaman recipe, first slow boil milk and 1/2 cup sugar on low flame until it reduces lesser than half the quantity.I used pressure cooker with weight on for about 60 minutes and slow cooked/boiled the milk. The milk turned slightly pink in colour by doing this.Cook ada as per packet instructions. Once cooked, drain the ada and rinse it in cold water to stop cooking.Heat ghee in a pan. Add 1/4 cup sugar and saute. Wait till sugar melts and starts to turn slightly brown. Add cooked ada and saute for about 2 minutes.Add about 1 to 1-1/2 cup boiled milk. Mix well. If it need more milk add it.Sprinkle cardamom powder, mix well. Serve hot or cold. Either ways it tastes delicious.Serve Kerala Palada Pradhaman after your meal of Keerai Sambar, Beetroot Thoran and Steamed Rice."
